;municipio;getulio_vargas;cristiano_machado;eduardo_gomes;joao_mangabeira;brancos_presidente;nulos_presidente;votantes;eleitores;pgetulio;pcristiano;peduardo;pjoao;pnulo;pbrancos;Urban_Tax_1950;Pop_Resid_1950;Pop.Urban_1950;PIB_Capt_1950;Pib_Mun_1949;Pib_Ind_1949;Pib_Agro_1949;Pib_Ser_1949;Alistados1949/Pop-1950
3108008;Bom Sucesso;829;3264;2637;0;215;0;6945;9227;0,119366451;0,469978402;0,379697624;0;0;0,030957523;0,228935496;16402;3755;3,809695987;14305,40843;2881,342115;7868,615332;3555,450984;0,435251799
3108107;Bonfim;3054;4615;4437;1;337;382;12826;19239;0,238110089;0,359815999;0,345937939;7,79666E-05;0,029783253;0,026274754;0,102025466;18613;1899;4,73967835;9000,649187;159,3933936;7410,130869;1431,124924;0,862784076
3108909;Brazópolis;1551;376;1354;0;71;39;3391;4631;0,457387201;0,110881746;0,399292244;0;0,011501032;0,020937776;0,184049882;22934;4221;6,12246058;25842,90611;957,1513957;15976,36316;8909,39155;0,171492108
3109501;Cabo Verde;673;708;785;1;85;37;2289;3534;0,294014854;0,309305374;0,342944517;0,000436872;0,016164264;0,03713412;0,134007585;11865;1590;6,761163003;10750,24918;847,9886746;8292,244961;1610,01554;0,245596292
3110004;Caeté;2107;1322;1765;0;152;31;5377;7966;0,391854194;0,245862005;0,328249954;0;0,005765297;0,028268551;0,301081648;21911;6597;5,766357115;38040,65789;25016,45693;4395,923227;8628,277725;0,246223358
3110509;Camanducaia;989;588;880;0;69;60;2586;3514;0,382443929;0,22737819;0,34029389;0;0,023201856;0,026682135;0,120828014;21932;2650;5,448805803;14439,33538;1100,328588;10281,89395;3057,112841;0,219268649
3110608;Cambui;276;2134;1663;0;65;63;4201;5067;0,065698643;0,507974292;0,395858129;0;0,014996429;0,015472507;0,126015901;22640;2853;4,254625882;12138,44764;304,1526543;8397,039587;3437,255399;0,160512367
3110905;Campanha;661;920;1331;1;57;5;2975;4121;0,222184874;0,309243697;0,447394958;0,000336134;0,001680672;0,019159664;0,492973651;7970;3929;2,51201584;9869,710234;1558,732913;2257,44667;6053,530651;0,400250941
3111200;Campo Belo;2680;1621;3438;0;167;56;7962;10885;0,336598845;0,203592062;0,431801055;0;0,007033409;0,020974629;0,261882397;26615;6970;5,631843763;39253,95103;8860,374201;13533,13631;16860,44052;0,332669547
3111606;Campos Gerais;983;1506;1925;0;134;22;4570;6391;0,215098468;0,329540481;0,421225383;0;0,004814004;0,029321663;0,172939439;16925;2927;6,702064298;19616,9422;1336,056783;13434,86642;4846,018996;0,315096012
3113305;Carangola;4206;4708;2235;1;249;399;11798;23142;0,356501102;0,399050687;0,189438888;8,47601E-05;0,033819291;0,021105272;0,243863064;42122;10272;4,986447592;51220,78967;4824,517655;21856,31293;24539,95908;0,569773515
3113404;Caratinga;4156;7845;2040;0;318;221;14580;22900;0,285048011;0,538065844;0,139917695;0;0,01515775;0,0218107;0,125267231;73906;9258;8,919203811;82573,98888;5068,156192;33709,57663;43796,25606;0,390563689
3115102;Cássia;1025;1105;1184;0;88;40;3442;4453;0,297791981;0,321034282;0,343986055;0;0,01162115;0,025566531;0,195609099;12617;2468;6,254829698;15436,91969;824,2576482;7984,125845;6628,536201;0,577078545
3115300;Cataguazes;3981;3583;6236;2;205;182;14189;17812;0,280569455;0,252519557;0,439495384;0,000140954;0,012826838;0,014447812;0,323971975;33827;10959;4,590087924;50302,77356;22126,41344;10728,13615;17448,22397;0,440062672
3117504;Conceiçã do Mato Dentro;1286;3544;3196;0;329;337;8692;13401;0,14795214;0,407731247;0,367694432;0;0,038771284;0,037850897;0,156242624;38133;5958;1,834767057;10931,54213;238,1012976;8403,002056;2290,438774;0,279521674
3118205;Conquista;1024;50;830;0;51;16;1971;2977;0,519533232;0,025367834;0,421106038;0;0,008117707;0,02587519;0,248301368;11627;2887;5,32641135;15377,34957;1491,890523;10266,11856;3619,34049;0,216306872
3118304;Conselheiro Lafaiete;6976;3962;4526;0;448;388;16300;23314;0,42797546;0,243067485;0,277668712;0;0,023803681;0,027484663;0,4054134;47327;19187;2,818878446;54085,82075;24501,09815;9063,41342;20521,30918;0,416062713
3119104;Corinto;2487;1902;1927;2;371;363;7052;10864;0,35266591;0,26971072;0,273255814;0,000283607;0,051474759;0,052609189;0,309373539;25668;7941;2,005876424;15928,66468;518,5229255;10615,23436;4794,907392;0,348800062
3120508;Cristina;1682;902;669;0;87;27;3367;4387;0,4995545;0,267894268;0,198693199;0;0,008019008;0,025839026;0,2125;11440;2431;5,480027806;13321,9476;1099,537554;7957,785546;4264,624496;0,454283217
3120904;Curvelo;2223;1807;2193;2;252;124;6601;12406;0,336767156;0,273746402;0,332222391;0,000302984;0,018785033;0,038176034;0,184261529;42825;7891;5,721108545;45145,26753;20265,50546;13328,53946;11551,2226;0,263864565
3121605;Diamantina;2127;3654;1886;1;213;442;8323;14577;0,255556891;0,43902439;0,226600985;0,000120149;0,053105851;0,025591734;0,237501116;56025;13306;2,551142142;33945,49734;5241,392684;15657,86762;13046,23703;0,220651495
3122306;Divinópolis;2529;1893;2803;0;130;79;7434;10758;0,340193705;0,254640839;0,377051386;0;0,01062685;0,017487221;0,408485523;32361;13219;2,773365899;36661,12382;12637,95808;4361,170411;19661,99533;0,195265906
3123205;Dores do Indaiá;865;1772;1607;0;120;9;4373;6150;0,197804711;0,405213812;0,367482278;0;0,002058084;0,027441116;0,151781357;18441;2799;5,895187798;16500,63065;994,7255208;8625,005377;6880,899748;0,27368364
3123601;Eloi Mendes;841;456;1084;1;37;7;2426;3014;0,346661171;0,187963726;0,446826051;0,000412201;0,002885408;0,015251443;0,201400017;11857;2388;5,131165579;12253,2234;1055,635155;8025,474297;3172,113951;0,217424306
3124807;Estrela do Sul;1051;507;1061;0;76;0;2695;4169;0,389981447;0,18812616;0,393692022;0;0;0,028200371;0,139962894;13475;1886;3,547316095;6690,238156;79,10342114;5320,566722;1290,568012;0,209795918
3125903;Ferros;969;1288;2639;0;193;250;5339;7198;0,181494662;0,241243679;0,49428732;0;0,046825248;0,036149092;0,114243732;21778;2488;3,631929644;9036,240955;728,1469916;7154,888388;1153,205575;0,252640279
