;municipio;getulio_vargas;cristiano_machado;eduardo_gomes;joao_mangabeira;brancos_presidente;nulos_presidente;votantes;eleitores;pgetulio;pcristiano;peduardo;pjoao;pnulo;pbrancos;Urban_Tax_1950;Pop_Resid_1950;Pop.Urban_1950;PIB_Capt_1950;Pib_Mun_1949;Pib_Ind_1949;Pib_Agro_1949;Pib_Ser_1949;Alistados1949/Pop-1950
3152105;Ponte Nova;7964;5998;4203;2;474;791;19432;32095;0,40983944;0,308666118;0,216292713;0,000102923;0,040706052;0,024392754;0,319931198;60463;19344;4,687246225;90670,09098;17604,86189;39155,87402;33909,35507;0,441641996
3152501;Pouso Alegre;3238;1138;1503;0;131;35;6045;9583;0,535649297;0,188254756;0,248635236;0;0,005789909;0,021670802;0,245936445;28731;7066;4,706274305;33254,53424;4375,60574;9191,377363;19687,55114;0,474122028
3152600;Pouso Alto;2903;1017;1510;3;118;33;5584;7183;0,519878223;0,182127507;0,270415473;0,000537249;0,005909742;0,021131805;0,218045113;6916;1508;5,395660119;8136,65546;646,2749507;4148,959368;3341,421141;0,79178716
3152709;Prados;1034;981;1542;0;75;51;3683;5084;0,280749389;0,266358947;0,418680424;0;0,013847407;0,020363834;0,192094235;8829;1696;3,293487354;5585,754552;1435,727094;2587,929048;1562,098411;0,927285083
3152808;Prata;600;996;738;0;83;13;2430;4615;0,24691358;0,409876543;0,303703704;0;0,005349794;0,034156379;0,192988694;14063;2714;9,898014749;26863,21203;1829,662131;17318,8921;7714,657796;0,643390457
3154002;Raul Soares;1890;3764;1695;0;159;324;7832;11718;0,241317671;0,480592441;0,216419816;0;0,041368744;0,020301328;0,160526863;38492;6179;6,860966172;42393,90998;3737,241132;29859,08393;8797,584915;0,209679933
3154903;Rio Casca;2220;2258;1954;0;199;110;6741;9150;0,329327993;0,334965139;0,289867972;0;0,016318054;0,029520843;0,149574486;23266;3480;5,145086909;17904,90244;2355,699881;10447,62554;5101,577019;0,34552566
3155405;Rio Novo;1438;287;1367;1;71;74;3218;4300;0,446861405;0,08918583;0,424798011;0,000310752;0,022995649;0,022063393;0,281550115;14786;4163;3,794957645;15798,40868;1680,156665;10240,15902;3878,092987;0,254768024
3155603;Rio Pardo de Minas;210;757;1394;0;115;27;2503;3292;0,083899321;0,302437076;0,556931682;0;0,010787056;0,045944866;0,047521207;34069;1619;5,244562568;8490,946798;22,93999213;8084,669773;383,3370333;0,057060671
3155900;Rio Preto;1174;1387;1114;0;86;49;3810;5092;0,308136483;0,364041995;0,292388451;0;0,012860892;0,022572178;0,141698272;9492;1345;8,480435324;11406,18551;363,084703;6165,137059;4877,963749;0,477981458
3156908;Sacramento;1029;1552;1357;0;81;52;4071;6892;0,252763449;0,381233112;0,333333333;0;0,012773274;0,019896831;0,06653649;20485;1363;18,16640743;24760,81332;2619,114274;14296,06777;7845,631282;0,303783256
3157005;Salinas;433;3105;1293;0;134;12;4977;7081;0,087000201;0,623869801;0,259795057;0;0,002411091;0,02692385;0,092596081;63696;5898;2,871849697;16938,16951;849,1752259;11715,75763;4373,236655;0,107636272
3157203;Santa Bárbara;4772;2322;2054;0;300;106;9554;16113;0,499476659;0,243039565;0,214988486;0;0,011094829;0,031400461;0,275417937;19022;5239;1,761698062;9229,536146;747,9228468;3699,483808;4782,129491;0,728209442
3157807;Santa Luzia;4094;2727;2534;1;371;236;9963;14182;0,410920406;0,273712737;0,254341062;0,000100371;0,023687644;0,03723778;0,285333333;10875;3103;2,327997852;7223,777334;2131,046165;3524,243807;1568,487361;0,913011494
3159605;Santa Rita do Sapucaí;1746;846;2144;0;114;43;4893;7140;0,356836297;0,172900061;0,438176988;0;0,008788065;0,02329859;0,270028499;25264;6822;4,934242432;33661,40187;4029,92379;14633,41665;14998,06143;0,187341672
3160405;Santo Antônio do Monte;1589;604;2079;0;110;31;4413;5859;0,360072513;0,136868344;0,47110809;0;0,0070247;0,024926354;0,167589499;20950;3511;3,438799257;12073,62419;1432,958474;7161,882139;3478,783577;0,222577566
3160702;Santos Dumont;4047;1108;2393;3;145;0;7696;10026;0,525857588;0,143970894;0,310940748;0,000389813;0;0,018840956;0,244477701;33410;8168;5,039306325;41161,05407;12154,24066;11226,36401;17780,4494;0,231607303
3161007;São Domingos do Prata;764;2596;1818;0;82;634;5894;7777;0,129623346;0,440447913;0,30844927;0;0,107567017;0,013912453;0,161663782;33514;5418;3,231595227;17508,78294;753,8556034;11014,45526;5740,472074;0,175807125
3161106;São Francisco;320;1633;2382;0;164;201;4700;6632;0,068085106;0,347446809;0,506808511;0;0,042765957;0,034893617;0,072771577;33241;2419;7,457420912;18039,50119;152,2740857;15906,65243;1980,574672;0,457386962
3162005;São Gonçalo do Sapucaí;897;1705;2118;0;103;38;4861;6388;0,184529932;0,350750874;0,435712816;0;0,007817322;0,021189056;0,140303795;18631;2614;6,831696796;17858,05543;1410,413999;10068,2743;6379,36713;0,292308518
3162104;São Gotardo;731;2044;2946;0;150;55;5926;8415;0,123354708;0,344920688;0,497131286;0;0,009281134;0,025312184;0,102171702;22609;2310;7,353348108;16986,23413;1350,295399;6177,097433;9458,841297;0,487239595
3162500;São João Del Rei;4015;2777;4012;0;157;220;11181;17176;0,359091316;0,248367767;0,358823003;0;0,019676236;0,014041678;0,38728986;50621;19605;3,313760702;64966,27855;26494,89988;10094,85479;28376,52389;0,264811047
3162906;São João Nepomuceno;2139;2443;860;67;29;76;5614;7974;0,381011756;0,435162095;0,153188457;0,01193445;0,013537585;0,005165657;0,345884529;22707;7854;4,217867747;33127,13328;10110,60377;11954,06162;11062,46789;0,310256749
3164704;São Sebastião do Paraíso;2998;1584;3342;0;171;141;8236;12687;0,364011656;0,192326372;0,405779505;0;0,017119961;0,020762506;0,375408244;22658;8506;4,030926582;34287,06151;2937,110027;11592,12189;19757,82959;0,590166828
3167103;Sêrro;548;1754;1125;0;130;84;3641;6657;0,150508102;0,481735787;0,308981049;0;0,023070585;0,035704477;0,131453423;28512;3748;3,097612027;11609,84988;334,6074714;7713,40247;3561,839935;0,331719978
3167202;Sete Lagoas;4480;4385;2649;0;397;152;12063;17627;0,37138357;0,363508248;0,219597115;0;0,012600514;0,032910553;0,305291941;24868;7592;4,829112786;36662,62427;6503,487769;5136,811653;25022,32485;0,609216664
3168408;Tarumirim;1208;4801;1835;0;174;357;8375;11174;0,144238806;0,573253731;0,219104478;0;0,042626866;0,020776119;0,044219836;42741;1890;7,151987359;13517,25611;649,8346046;10471,56505;2395,856458;0,288715753
3168606;Teófilo Otoni;3388;3544;3033;5;298;138;10406;18321;0,325581395;0,340572746;0,291466462;0,000480492;0,01326158;0,028637325;0,17152641;87316;14977;3,164285057;47391,4973;1328,937475;28262,94358;17799,61625;0,257627468
3169307;Três Corações;1522;1329;1486;1;115;48;4501;5660;0,338147078;0,295267718;0,330148856;0,000222173;0,010664297;0,025549878;0,395637659;22465;8888;3,795422417;33733,71444;3659,719779;8246,145091;21827,84957;0,231248609
3169406;Três Pontas;1306;950;955;0;76;17;3304;4506;0,39527845;0,287530266;0,289043584;0;0,005145278;0,023002421;0,092835693;23310;2164;17,47996781;37826,65034;1572,971529;15272,36519;20981,31362;0,185242385
3169604;Tupaciguara;1715;1090;896;1;94;181;3977;7350;0,43122957;0,274075937;0,225295449;0,000251446;0,045511692;0,023635906;0,182797223;21171;3870;10,29651433;39847,51045;1095,186866;27824,02366;10928,29993;0,320768976
3169901;Ubá;3609;7188;5952;1;457;169;17376;28061;0,207700276;0,413674033;0,342541436;5,75506E-05;0,009726059;0,026300645;0,312271695;40516;12652;3,739562402;47312,94351;3447,72261;15223,55556;28641,66534;0,639475763
3170107;Uberaba;9523;2473;5315;9;550;247;18117;28800;0,525638903;0,136501628;0,293370867;0,000496771;0,013633604;0,030358227;0,375205231;69434;26052;4,817521798;125506,0779;19410,00196;24477,23258;81618,84335;0,329161506
3170206;Uberlândia;6579;1814;4089;5;645;210;13342;20462;0,493104482;0,135961625;0,306475791;0,000374756;0,015739769;0,048343577;0,457605849;54984;25161;5,353365576;134696,0313;36898,97734;19522,8262;78274,22773;0,322802997
3170701;Varginha;2552;1318;2760;3;138;75;6846;9298;0,372772422;0,19252118;0,403155127;0,000438212;0,010955302;0,020157756;0,509233708;23555;11995;4,20395632;50426,45606;6897,027289;10051,32786;33478,10091;0,291530461
3171303;Viçosa;3919;6200;2081;2;280;286;12768;19246;0,306939223;0,485588972;0,162985589;0,000156642;0,022399749;0,021929825;0,196375861;36588;7185;4,300111275;30896,29951;1444,42847;13552,96758;15898,90346;0,488329507
3172004;Visconde do Rio Branco;2910;3944;2316;1;224;161;9556;15273;0,30452072;0,41272499;0,24236082;0,000104646;0,016848054;0,02344077;0,148745177;26179;3894;9,176049437;35731,53651;8085,556191;13222,92444;14423,05588;0,47274533
